city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
santiago del estero,RU,1970-01-01 00:00:01.579292893,54.6,48.14,33.8,100,90,8.95
salalah,CV,1970-01-01 00:00:01.579292893,16.89,-24.98,71.6,68,40,20.8
kirakira,CN,1970-01-01 00:00:01.579292893,34.57,105.89,27.57,67,66,2.53
bambous virieux,BR,1970-01-01 00:00:01.579292893,-17.71,-39.25,80.35,83,0,15.61
nikolskoye,FR,1970-01-01 00:00:01.579292893,41.59,9.28,57.2,82,25,18.34
alanya,NO,1970-01-01 00:00:01.579292894,70.37,31.11,15.8,72,7,26.4
tsilna,CA,1970-01-01 00:00:01.579292894,53.83,-101.25,-2.2,70,90,5.82
mindelo,ET,1970-01-01 00:00:01.579292894,11.74,41.09,68.88,57,0,5.53
beidao,SL,1970-01-01 00:00:01.579292894,7.94,-11.14,79.47,48,2,6.49
nizhneyansk,LR,1970-01-01 00:00:01.579292895,5.88,-10.05,80.6,88,20,5.32
caravelas,PH,1970-01-01 00:00:01.579292895,12.52,124.56,76.87,91,1,4.45
porto-vecchio,TL,1970-01-01 00:00:01.579292895,-8.93,125.41,67.69,92,66,3.22
kerki,BR,1970-01-01 00:00:01.579292676,-22.97,-42.03,75.2,94,75,12.75
chagda,RU,1970-01-01 00:00:01.579292895,55.65,109.32,15.24,77,20,5.82
vardo,CA,1970-01-01 00:00:01.579292895,49.75,-77.63,-4.0,76,90,5.82
the pas,LY,1970-01-01 00:00:01.579292895,29.03,21.55,58.33,61,87,16.84
dubti,IN,1970-01-01 00:00:01.579292895,18.38,77.12,67.28,61,33,1.86
hangha,ZA,1970-01-01 00:00:01.579292895,-33.02,27.91,76.98,85,100,19.84
buchanan,KI,1970-01-01 00:00:01.579292895,3.07,172.79,83.93,80,100,17.98
bobon,GL,1970-01-01 00:00:01.579292895,72.79,-56.15,-13.81,63,38,2.57
airai,CA,1970-01-01 00:00:01.579292895,63.75,-68.51,-9.4,69,75,2.24
arraial do cabo,BR,1970-01-01 00:00:01.579292895,-20.23,-41.51,75.63,92,100,2.42
severobaykalsk,CA,1970-01-01 00:00:01.579292895,65.28,-126.83,-16.6,75,20,2.24
matagami,RU,1970-01-01 00:00:01.579292896,50.68,156.12,16.29,87,100,15.73
jalu,DE,1970-01-01 00:00:01.579292896,48.15,11.74,46.0,70,75,1.12
udgir,IS,1970-01-01 00:00:01.579292896,64.89,-23.71,33.13,67,13,11.72
east london,LK,1970-01-01 00:00:01.579292896,7.42,81.82,80.87,80,26,15.12
butaritari,GB,1970-01-01 00:00:01.579292896,50.12,-5.54,46.99,87,1,16.11
